	0	1	2	3	4	5	6	7	8	9
0	-100.0	-80.0	-70.0	-90.0	-90.0	-100.0	-90.0	-90.0	-100.0	-100.0
1	40.0	-90.0	74.0	-60.0	-50.0	-100.0	-70.0	-10.0	-100.0	-100.0
2	-80.0	-70.0	-70.0	-70.0	-90.0	-100.0	-80.0	-70.0	-100.0	-100.0
3	-70.0	-80.0	-70.0	-70.0	-90.0	-100.0	-70.0	-70.0	-100.0	-100.0
4	-80.0	24.640000000000253	56.080000000000325	25.12000000000025	-74.0	-65.87999999999974	34.72000000000027	28.240000000000258	-66.59999999999972	-61.79999999999971
5	-40.0	-100.0	-80.0	-80.0	-100.0	-100.0	-50.0	-70.0	-100.0	-100.0
6	-30.0	-100.0	-20.0	-20.0	-70.0	-100.0	-50.0	-30.0	-100.0	-100.0
7	21.40000000000024	-80.0	-90.0	-90.0	-80.0	-100.0	-90.0	-90.0	-100.0	-100.0
mean	-42.32499999999997	-71.91999999999996	-33.73999999999996	-56.85999999999997	-80.5	-95.73499999999997	-58.15999999999997	-50.21999999999997	-95.82499999999996	-95.22499999999997
