	enemies	Run_0	Run_1	mean
0	[1]	-100.0	-96.0	-98.0
1	[2]	-100.0	-100.0	-100.0
2	[3]	-100.0	-100.0	-100.0
3	[4]	-100.0	-91.03999999999994	-95.51999999999997
4	[5]	-46.19999999999968	-18.239999999999828	-32.21999999999976
5	[6]	-100.0	-100.0	-100.0
6	[7]	-100.0	-100.0	-100.0
7	[8]	-100.0	-100.0	-100.0
